escenario,metrica,dataset,mean_espacial,median_espacial,min,max,n_pixeles
A_opcion_B_integrado,Duracion media,CR2MET,42.45588684082031,17.062314987182617,2.371338129043579,424.8999938964844,3551
A_opcion_B_integrado,Duracion media,ALADIN,35.065345764160156,12.308331489562988,2.4551870822906494,425.0666809082031,3556
A_opcion_B_integrado,Duracion media,DELTA,-7.867584705352783,-2.1806983947753906,-337.1810302734375,342.84967041015625,3531
A_opcion_B_integrado,t99,CR2MET,221.7696075439453,133.0,9.0,2561.699951171875,3551
A_opcion_B_integrado,t99,ALADIN,178.18264770507812,93.88999938964844,9.0,2422.02001953125,3556
A_opcion_B_integrado,t99,DELTA,-44.73697280883789,-16.860000610351562,-1451.340087890625,2081.02001953125,3531
B_mismo_umbral,Duracion media,CR2MET,42.45588684082031,17.062314987182617,2.371338129043579,424.8999938964844,3551
B_mismo_umbral,Duracion media,ALADIN,15.553937911987305,7.795180797576904,2.0283823013305664,178.81689453125,3587
B_mismo_umbral,Duracion media,DELTA,-27.46770477294922,-8.331888198852539,-394.3717041015625,52.72188949584961,3551
B_mismo_umbral,t99,CR2MET,221.7696075439453,133.0,9.0,2561.699951171875,3551
B_mismo_umbral,t99,ALADIN,89.3382797241211,50.0,7.0,865.75,3587
B_mismo_umbral,t99,DELTA,-135.3839569091797,-69.68000030517578,-2096.02001953125,211.3400115966797,3551
C_umbral_local,Duracion media,CR2MET,42.45588684082031,17.062314987182617,2.371338129043579,424.8999938964844,3551
C_umbral_local,Duracion media,ALADIN,36.16342544555664,14.123077392578125,2.285811185836792,425.0666809082031,3485
C_umbral_local,Duracion media,DELTA,-6.65349817276001,-1.886244773864746,-126.98138427734375,21.196929931640625,3473
C_umbral_local,t99,CR2MET,221.7696075439453,133.0,9.0,2561.699951171875,3551
C_umbral_local,t99,ALADIN,186.7151336669922,114.05000305175781,9.0,2487.409912109375,3485
C_umbral_local,t99,DELTA,-35.29605484008789,-6.6399993896484375,-1029.7000732421875,635.2900390625,3473
