cuenca,serie,n_spells,mean_dias,median_dias,p90_dias,p99_dias,max_dias
Loa,CR2MET 1 mm,55015,65.579,23.0,185.0,456.0,1419.0
Loa,ALADIN 1 mm,129292,26.956,12.0,70.0,206.0,1127.0
Loa,ALADIN tau* global,66267,54.603,22.0,143.0,360.0,1156.0
Loa,ALADIN tau* local,71662,50.492,21.0,127.0,353.0,1150.0
Maule,CR2MET 1 mm,184462,9.459,5.0,21.0,83.0,206.0
Maule,ALADIN 1 mm,257231,5.801,3.0,13.0,39.0,142.0
Maule,ALADIN tau* global,228077,7.345,4.0,17.0,57.0,160.0
Maule,ALADIN tau* local,212397,8.179,4.0,19.0,67.0,194.0
Biobio,CR2MET 1 mm,344251,6.225,4.0,14.0,44.0,109.0
Biobio,ALADIN 1 mm,423294,4.189,3.0,9.0,22.0,79.0
Biobio,ALADIN tau* global,399130,5.312,3.0,12.0,34.0,153.0
Biobio,ALADIN tau* local,395037,5.438,3.0,12.0,35.0,153.0
