criterio,cuenca,metrica,hist,futuro,delta_obs,delta_boot_mediana,IC95_inferior,IC95_superior,sig_aumento,sig_disminucion
i_global,Loa,mediana,42.0,44.0,2.0,3.0,-118.67499999999995,149.02499999999998,False,False
i_global,Loa,media,2642.64042652163,2712.7697525498024,70.12932602817227,1.9808305758919431,-5370.6505687537865,5514.495613820287,False,False
i_global,Loa,p99,12784.0,12784.0,0.0,0.0,-12437.0,12433.532000000005,False,False
i_global,Maipo,mediana,5.0,5.0,0.0,0.0,-2.0,3.0,False,False
i_global,Maipo,media,1114.7207498123455,1247.7445385920703,133.02378877972478,2.395567035645895,-2815.93737889326,3096.380242993131,False,False
i_global,Maipo,p99,12784.0,12784.0,0.0,0.0,-12682.0,12707.0,False,False
i_global,Maule,mediana,4.0,5.0,1.0,0.0,-1.0,3.0,False,False
i_global,Maule,media,900.5642661693568,1005.7251526323685,105.1608864630117,2.0066237275566623,-2333.0969744772224,2585.259821114134,False,False
i_global,Maule,p99,12784.0,12784.0,0.0,0.0,-12714.0,12731.0,False,False
i_global,Biobio,mediana,3.0,4.0,1.0,1.0,-1.0,1.0,False,False
i_global,Biobio,media,529.6021880819367,569.2784451440402,39.67625706210356,1.0513062521055128,-1443.7766812590617,1559.079736491081,False,False
i_global,Biobio,p99,12784.0,12784.0,0.0,0.0,-12748.0,12752.0,False,False
ii_mismo,Loa,mediana,16.0,18.0,2.0,2.0,-14.0,18.0,False,False
ii_mismo,Loa,media,1507.921505588742,1597.2881723998614,89.36666681111933,3.8453468112490867,-3520.719952312431,3699.933979074425,False,False
ii_mismo,Loa,p99,12784.0,12784.0,0.0,0.0,-12599.0,12581.0,False,False
ii_mismo,Maipo,mediana,4.0,4.0,0.0,0.0,-1.0,2.0,False,False
ii_mismo,Maipo,media,939.2552051692716,1035.0242932221395,95.76908805286791,1.6953608137825644,-2431.757640654311,2637.331569203439,False,False
ii_mismo,Maipo,p99,12784.0,12784.0,0.0,0.0,-12716.0,12734.0,False,False
ii_mismo,Maule,mediana,4.0,4.0,0.0,1.0,-1.0,2.0,False,False
ii_mismo,Maule,media,804.3417996119925,873.6871917288479,69.34539211685535,1.406639720254597,-2108.963541887352,2290.0891115992704,False,False
ii_mismo,Maule,p99,12784.0,12784.0,0.0,0.0,-12740.0,12748.0,False,False
ii_mismo,Biobio,mediana,3.0,3.0,0.0,0.0,0.0,1.0,False,False
ii_mismo,Biobio,media,499.86554341612145,526.0529508192809,26.187407403159455,0.8075136460201682,-1366.6350705530783,1451.9413047387732,False,False
ii_mismo,Biobio,p99,12784.0,12784.0,0.0,0.0,-12758.0,12763.0,False,False
iii_local,Loa,mediana,36.0,36.0,0.0,2.0,-86.05,100.19999999999982,False,False
iii_local,Loa,media,2482.8539217554044,2547.1218771915705,64.26795543616618,1.8305922213407229,-5137.385702501455,5271.103202730183,False,False
iii_local,Loa,p99,12784.0,12784.0,0.0,0.0,-12446.0,12448.0,False,False
iii_local,Maipo,mediana,6.0,6.0,0.0,0.0,-3.0249999999999986,5.0,False,False
iii_local,Maipo,media,1314.506851430574,1467.8947225316992,153.38787110112526,2.905019028433781,-3223.550444403714,3546.4300690101745,False,False
iii_local,Maipo,p99,12784.0,12784.0,0.0,0.0,-12659.0,12675.0,False,False
iii_local,Maule,mediana,4.0,5.0,1.0,0.0,-2.0,3.0,False,False
iii_local,Maule,media,962.264660339443,1093.1277502791033,130.8630899396603,2.481901662742585,-2477.711707019031,2767.8159713990476,False,False
iii_local,Maule,p99,12784.0,12784.0,0.0,0.0,-12706.0,12721.0,False,False
iii_local,Biobio,mediana,3.0,4.0,1.0,1.0,-1.0,1.0,False,False
iii_local,Biobio,media,534.928878009767,574.8755571291706,39.9466791194036,1.062607226614173,-1457.7828819775173,1572.8737764951518,False,False
iii_local,Biobio,p99,12784.0,12784.0,0.0,0.0,-12746.0,12750.0,False,False
